Job ID,Job Category,Required Skills,Location Type,Experience (Years),Estimated Monthly Salary (BDT),Other Key Qualifications,Trend Ref. (Approx. Year)
85,Cloud Migration Specialist,"Cloud Adoption Frameworks, Lift-and-Shift, Refactoring Strategy, TCO Analysis",Remote/Hybrid,6+,"140,000 - 280,000",Experience leading multi-year legacy system migrations.,2021-Present
86,Junior/Trainee Software Engineer,"Basic knowledge of one language (e.g., C/C++, Java/Python), Data Structures & Algorithms",On-site,0-1,"18,000 - 30,000","University/Bootcamp graduate, strong eagerness to learn, high volume entry role.",2015-Present
87,Chief Information Officer (CIO),"IT Strategy, Digital Transformation, Board-level Communication, Large-Scale Budget Oversight",On-site,15+,"400,000 - 800,000+","Executive presence, cross-industry knowledge, proven IT leadership.",2015-Present (Executive Tier)
88,Technical Account Manager (TAM),"Product Expertise, Post-Sales Technical Support, Client Advocacy, Quarterly Business Reviews (QBRs)",Remote,5-8,"120,000 - 240,000",Works closely with sales and engineering to maintain key client satisfaction.,2020-Present
89,Salesforce Consultant (Functional),"Sales Cloud/Service Cloud implementation, Customization, End-user Training",Remote/Hybrid,4-7,"90,000 - 170,000","Admin/Consultant Certifications, strong stakeholder management.",2020-Present
90,E-commerce Platform Engineer,"Magento/Shopify Plus, Scalable Architecture Design, Payment/Shipping API Integration",Hybrid,5-8,"110,000 - 210,000",Focus on high-traffic retail or marketplace environments.,2017-Present
91,Senior Java Developer,"Core Java, J2EE, Servlets, JSP, EJB, WebLogic/JBoss",On-site,6-10,"120,000 - 240,000",Experience with large enterprise systems and scalability.,2015-2020
92,Full-Stack Developer (Ruby on Rails),"Ruby, Rails Framework, PostgreSQL, TDD/BDD, Deployment (Heroku/DigitalOcean)",Remote/Hybrid,3-6,"80,000 - 150,000",High demand in specific product-based startups and outsourcing firms.,2016-Present
93,e-Commerce Data Analyst,"Google Analytics 4, Funnel Analysis, A/B Testing, SQL, e-Commerce KPIs (AOV, Conversion Rate)",Hybrid,3-5,"60,000 - 110,000","Experience with specific e-commerce platforms (e.g., Magento).",2020-Present
94,IT Security Administrator,"Active Directory, Endpoint Protection (Antivirus), Patch Management, Basic Firewall Rules",On-site,2-4,"45,000 - 80,000",Focus on internal corporate security infrastructure.,2015-Present
95,SharePoint Developer (Legacy),"SharePoint Designer, InfoPath, Workflow development",On-site,3-5,"60,000 - 100,000",Used in older government and large corporate environments.,2015-2017
96,SharePoint Online / M365 Developer,"Power Platform (Automate/Apps), PowerShell, Azure AD, SharePoint Framework (SPFx)",Hybrid/Remote,4-7,"90,000 - 180,000",Modern collaboration and internal enterprise solutions.,2020-Present
97,Junior Web Designer,"HTML, CSS, Bootstrap, Basic Photoshop, PSD to HTML Conversion",On-site,0-2,"20,000 - 35,000",Fresh graduate entry-level role.,2015-2018
98,Senior Data Scientist (Deep Learning),"TensorFlow/PyTorch, CNNs/RNNs/Transformers, Cloud ML services, Publication record",Remote,6+,"180,000 - 350,000+","Research-focused, requires strong mathematical background and domain expertise.",2022-Present
99,AWS Cloud Engineer (Solutions),"EC2, S3, RDS, VPC Networking, CloudFormation/Terraform",Remote/Hybrid,3-6,"80,000 - 160,000",AWS Certified Solutions Architect - Associate minimum.,2020-Present
100,Azure Cloud Engineer (DevOps Focus),"Azure DevOps, ARM Templates/Bicep, Azure Functions, Azure Kubernetes Service (AKS)",Remote/Hybrid,3-6,"80,000 - 160,000",Azure Administrator/Developer Certification.,2020-Present
101,System Analyst,"Requirements Analysis, System Design, ER Diagrams, Database Normalization",On-site/Hybrid,5-8,"80,000 - 150,000",Bridging role between business and technical teams.,2015-Present
102,Technical Lead (Team Lead),"Code Review, Mentorship, Architectural Decision Making, Project Management Basics",Hybrid,6-10,"130,000 - 280,000","Strong technical expertise in a specific stack (e.g., Python, Java, .NET).",2018-Present
103,Junior QA (Automation),"Scripting basics, introduction to Selenium/Cypress, Python/Java fundamentals",On-site/Hybrid,1-2,"40,000 - 65,000",Transition point for manual testers or fresh graduates.,2020-Present
104,Content Writer (Tech Focus),"SEO Writing, Blog Posts, Case Studies, Excellent English Grammar/Style",Remote,2-4,"40,000 - 70,000",Ability to understand complex technical topics quickly.,2018-Present
105,Video Conferencing & Collaboration Specialist,"Microsoft Teams/Zoom Administration, Audio/Visual Setup, Troubleshooting, Training",On-site/Hybrid,3-5,"50,000 - 90,000",High demand post-pandemic for internal enterprise support.,2020-Present
106,Blockchain Smart Contract Developer (Rust/Substrate),"Polkadot/NEAR/Solana ecosystem, Advanced Cryptography, Token Standards",Remote,4-7,"150,000 - 350,000+","Highly specialized and niche, often working for foreign firms.",2023-Present
107,Mid-Level .NET Developer,"ASP.NET MVC/Web Forms, C#, SQL Server, IIS Hosting",On-site/Hybrid,3-5,"55,000 - 95,000","Used heavily in local banking, telecom, and government projects.",2015-2020
108,Senior .NET Core Developer,".NET Core/5+, C#, Azure/AWS deployment, Microservices, Docker",Remote/Hybrid,5-8,"100,000 - 190,000",Modernization projects and new product development.,2019-Present
109,Technical Recruiter (IT),"Knowledge of IT roles/skills (e.g., Java vs. JavaScript), Boolean Search, Headhunting",Remote/Hybrid,2-5,"50,000 - 90,000",Focus on talent acquisition for fast-growing IT/ITES firms.,2018-Present
110,Business Development Executive (Local IT),"Lead Generation, Cold Calling, Proposal Writing (Bangla/English), Local Market Networking",On-site,1-3,"30,000 - 50,000 (Plus Target Commission)",Focus on winning local SME and corporate projects.,2015-Present
111,Information Security Officer (ISO),"Policy Formulation, Risk Assessment, Regulatory Compliance (BGD laws), Audits",On-site,8+,"150,000 - 300,000",Mandatory compliance role in banks and financial institutions.,2017-Present
112,GIS Developer,"ArcGIS/QGIS, Python (GeoPandas), Spatial Databases (PostGIS), Web Mapping Libraries (Leaflet/Mapbox)",Hybrid,3-6,"60,000 - 120,000","Government, Urban Planning, and Telecom sector demand.",2016-Present
113,Cloud Architect (GCP),"Compute Engine, BigQuery, Cloud Functions, Kubernetes Engine (GKE), Security",Remote/Hybrid,5-9,"140,000 - 260,000",GCP Professional Cloud Architect certification.,2021-Present (Growing Niche)
114,Mid-Level Python Developer (Web),"Django/Flask, RESTful APIs, SQLAlchemy/Django ORM, Celery",Remote/Hybrid,2-4,"50,000 - 90,000","General purpose development role, high demand in startups.",2017-Present
115,Telecom BSS/OSS Architect,"Solution Design, Integration of different BSS/OSS components, Vendor Management",On-site,10+,"200,000 - 450,000",Senior role within Mobile Network Operators (MNOs).,2015-Present
116,Product Designer (Mid-level),"Figma, Interaction Design, Usability Testing, A/B Test Interpretation",Remote/Hybrid,3-6,"70,000 - 130,000",Focus on improving key product metrics through design.,2020-Present
117,Senior Hardware Engineer (Server/Data Center),"Server Racks, UPS/Cooling Systems, Cable Management, Cisco UCS/Dell PowerEdge",On-site,6-10,"100,000 - 190,000",Data center maintenance and scaling for large ISPs/Corps.,2015-Present
118,IT Project Coordinator,"Scheduling, Resource Allocation, Meeting Management, Communication Flow",On-site,2-4,"40,000 - 75,000",Supports the Project Manager in administrative tasks.,2015-Present
119,Technical SEO Specialist,"Core Web Vitals, Schema Markup, XML Sitemaps, Log File Analysis, JavaScript SEO",Remote,3-6,"60,000 - 110,000",Focus on the technical health of large-scale websites.,2020-Present
120,Business Intelligence Manager,"Team Leadership, BI Strategy, Stakeholder Reporting, Data Governance Oversight",Hybrid,7+,"140,000 - 280,000",Experience building and leading a BI/Data team.,2019-Present
121,Angular Developer (Enterprise Focus),"Angular 10+, RxJS, NgRx/State Management, Large-Scale Application Architecture",Remote/Hybrid,4-7,"90,000 - 170,000","Used in complex, long-term enterprise software projects.",2018-Present
122,Desktop Support Technician (Field),"On-site troubleshooting (PC/Printer), Asset Management, Local Travel required",On-site,1-3,"30,000 - 45,000",Mobility and quick problem resolution skills.,2015-Present
123,Network Security Engineer,"IDS/IPS, VPN, Endpoint Detection and Response (EDR), Security Policy Implementation",On-site/Hybrid,4-7,"80,000 - 160,000",Fortinet/Palo Alto/Cisco security certifications.,2018-Present
124,Computer Vision/Image Processing Analyst,"Python, MATLAB, Deep Learning, Medical Imaging/Satellite Imagery experience",Remote,3-6,"90,000 - 170,000",Niche role in R&D or specific industry applications.,2021-Present
125,IT Procurement Manager,"Strategic Sourcing, Budgeting, Contract Negotiation (Global Vendors), Team Leadership",On-site,6+,"110,000 - 220,000",Focus on cost-saving and efficiency in hardware/software licensing.,2017-Present
126,AI Research Scientist,"ML/DL Theory, Experiment Design, Scientific Publication, Advanced Python/R",Remote,5+ (or PhD),"180,000 - 400,000+",Requires Ph.D. or extensive high-impact research experience.,2023-Present (Elite Role)
127,E-commerce Operations Manager,"Warehouse Management Systems (WMS), Logistics Optimization (Last-mile), Inventory Control",On-site,5-8,"80,000 - 150,000",Crucial role for local e-commerce and retail tech.,2018-Present
128,Technical Sales Engineer,"Product Demos, Technical Presentation, Proposal Writing, Bridging Sales and Tech Teams",On-site/Hybrid,4-7,"70,000 - 130,000 (Plus Bonus)",Deep understanding of the product/service being sold.,2016-Present
129,UNIX/Solaris Admin (Legacy),"Shell Scripting, Solaris OS, Basic Networking, High Availability setup",On-site,5-10,"100,000 - 180,000","Very niche, still present in some high-security legacy bank systems.",2015-2017
130,Business Continuity & Disaster Recovery Specialist,"BCP/DRP Documentation, Failover Testing, RTO/RPO Planning, Regulatory Adherence",On-site/Hybrid,5-8,"90,000 - 170,000",Mandatory for large financial and telecom companies.,2017-Present
131,Salesforce Marketing Cloud Specialist,"Journey Builder, Automation Studio, Ampscript, Data Extensions",Remote/Hybrid,3-5,"80,000 - 160,000",Highly sought-after skill for CRM and digital marketing integration.,2021-Present
132,Full-Stack Developer (Vue.js),"Vue.js, Vuex/Pinia, Node.js/Express, API integration",Remote/Hybrid,3-5,"65,000 - 120,000",Common in startups due to Vue's ease of use and learning curve.,2018-Present
133,Technical Support Agent (Bangla/Local Language),"Phone/Chat Support, Local Software Troubleshooting, Non-English Communication",On-site,0-2,"20,000 - 35,000",Support for local SaaS or hardware products.,2015-Present
134,Senior QA (End-to-End Testing),"Test Strategy, Test Planning, Environment Setup, UAT Coordination, Selenium/Cypress",Hybrid,5-8,"90,000 - 170,000",Focus on overall quality and release management.,2018-Present
135,Lead UI/UX Designer,"Leading Design Team, A/B Testing Strategy, Cross-Functional Collaboration with PMs/Engineers",Hybrid,7+,"120,000 - 240,000",Requires strong leadership and demonstrable impact on product adoption.,2021-Present
136,RPA Consultant (Implementation),"Assessing business processes for automation, calculating ROI, presenting solutions",On-site/Hybrid,4-7,"90,000 - 180,000","Client-facing role, requires strong analytical and communication skills.",2020-Present
137,Chief Technology Officer (CTO),"Technology Vision, Engineering Culture, Patent/IP Strategy, Investor Relations",On-site,12+,"450,000 - 1,000,000+","Equity compensation likely, requires deep industry and technology insight.",2015-Present (Executive Tier)
138,IT Security Trainer,"Conducting CISA/CISSP/CEH training, Curriculum Development, Workshop Facilitation",On-site/Hybrid,5+,"80,000 - 150,000","Strong presentation skills, mandatory industry certifications.",2018-Present
139,Junior Cloud DevOps,"Basic Docker, Git, Introductory AWS/Azure, Shell Scripting",On-site/Hybrid,1-2,"45,000 - 75,000",Entry-level role to support senior DevOps engineers.,2021-Present
